Datum;Preis
22/12/2021;63.90
23/12/2021;64.96
27/12/2021;65.10
28/12/2021;67.00
29/12/2021;67.22
30/12/2021;67.00
3/1/2022;67.41
4/1/2022;68.20
5/1/2022;68.23
6/1/2022;
7/1/2022;69.70
10/1/2022;69.20
11/1/2022;68.90
12/1/2022;69.80
13/1/2022;69.70
14/1/2022;69.80
17/1/2022;70.80
18/1/2022;71.00
19/1/2022;71.10
20/1/2022;70.90
21/1/2022;70.10
24/1/2022;70.96
25/1/2022;70.70
26/1/2022;71.12
27/1/2022;72.30
28/1/2022;72.90
31/1/2022;73.50
1/2/2022;72.73
2/2/2022;73.83
3/2/2022;73.85
4/2/2022;75.90
7/2/2022;76.31
8/2/2022;75.26
9/2/2022;74.53
10/2/2022;75.20
11/2/2022;75.35
14/2/2022;77.70
15/2/2022;77.60
16/2/2022;77.20
17/2/2022;76.10
18/2/2022;75.30
21/2/2022;75.70
22/2/2022;78.73
23/2/2022;76.80
24/2/2022;82.59
25/2/2022;82.19
28/2/2022;85.93
1/3/2022;90.47
2/3/2022;100.76
3/3/2022;108.40
4/3/2022;108.20
7/3/2022;126.00
8/3/2022;130.29
9/3/2022;145.50
10/3/2022;137.36
11/3/2022;130.93
14/3/2022;130.89
15/3/2022;119.30
16/3/2022;116.08
17/3/2022;116.86
18/3/2022;117.50
21/3/2022;123.02
22/3/2022;119.40
23/3/2022;118.71
24/3/2022;119.34
25/3/2022;117.16
28/3/2022;112.56
29/3/2022;105.70
30/3/2022;103.80
31/3/2022;100.63
1/4/2022;101.43
4/4/2022;104.54
5/4/2022;102.00
6/4/2022;100.20
7/4/2022;96.73
8/4/2022;94.60
11/4/2022;94.40
12/4/2022;94.74
13/4/2022;97.50
14/4/2022;101.50
19/4/2022;104.60
20/4/2022;104.10
21/4/2022;103.68
22/4/2022;102.47
25/4/2022;98.80
26/4/2022;100.30
27/4/2022;101.30
28/4/2022;101.39
29/4/2022;107.19
2/5/2022;106.80
